Id,Label,timeset,Degree,Weighted Degree,Eccentricity,closnesscentrality,harmonicclosnesscentrality,betweenesscentrality,modularity_class,pageranks,clustering,triangles,eigencentrality,componentnumber
Indie,Indie,,262,30977,2,0.816425,0.887574,13878.511313,1,0.166612,0.080957,2768,1,0
Action,Action,,220,19968,3,0.739606,0.824951,8318.597583,1,0.109784,0.100291,2416,0.907028,0
Casual,Casual,,170,15378,2,0.667984,0.751479,3674.484782,1,0.078828,0.143195,2057,0.809113,0
Adventure,Adventure,,189,15169,2,0.694045,0.779586,5180.851061,1,0.079351,0.125127,2223,0.851144,0
Strategy,Strategy,,160,7989,2,0.655039,0.736686,3863.857113,0,0.047571,0.140959,1793,0.749983,0
Simulation,Simulation,,165,6209,2,0.661448,0.744083,3839.25245,0,0.037651,0.140946,1907,0.775004,0
Early Access,Early Access,,138,5867,2,0.628253,0.704142,2542.575487,0,0.031945,0.17349,1640,0.701784,0
RPG,RPG,,149,5448,2,0.641366,0.720414,3777.763527,0,0.033157,0.162706,1794,0.737261,0
Free to Play,Free to Play,,125,3295,2,0.61343,0.684911,1277.028746,0,0.018361,0.212516,1647,0.698252,0
Puzzle,Puzzle,,95,2179,3,0.580756,0.640039,753.298781,1,0.012198,0.265622,1186,0.581092,0
VR,VR,,84,1740,2,0.570946,0.62426,905.687575,0,0.010476,0.288583,1006,0.529728,0
Sports,Sports,,72,1480,3,0.556837,0.60503,1114.252309,0,0.011348,0.24687,631,0.417339,0
Racing,Racing,,66,1435,3,0.551387,0.596154,562.493638,0,0.009418,0.311422,668,0.428084,0
Platformer,Platformer,,70,1276,3,0.555008,0.602071,443.116577,1,0.007667,0.290269,701,0.436095,0
Nudity,Nudity,,34,1134,2,0.52648,0.550296,44.853812,2,0.005976,0.611408,343,0.302227,0
Sexual Content,Sexual Content,,40,1111,3,0.529781,0.558185,61.480877,2,0.005939,0.535897,418,0.334315,0
Visual Novel,Visual Novel,,40,1078,3,0.52648,0.556213,65.626221,0,0.006188,0.491026,383,0.316788,0
Violent,Violent,,43,1074,3,0.532283,0.562623,97.770709,1,0.005659,0.503876,455,0.352943,0
Anime,Anime,,69,1070,3,0.555921,0.601578,464.167702,0,0.006771,0.326939,767,0.455559,0
Horror,Horror,,64,967,3,0.548701,0.592702,236.527098,1,0.00574,0.409226,825,0.46925,0
Point & Click,Point & Click,,46,948,3,0.529781,0.564103,101.969155,1,0.005472,0.414493,429,0.335524,0
Gore,Gore,,39,951,3,0.528951,0.556706,28.701404,1,0.004977,0.635628,471,0.358367,0
Hidden Object,Hidden Object,,12,869,3,0.487734,0.503452,0.787255,1,0.004305,0.848485,56,0.133195,0
Multiplayer,Multiplayer,,99,807,2,0.585789,0.64645,867.853617,0,0.005843,0.237271,1151,0.566577,0
FPS,FPS,,74,797,3,0.558678,0.607988,661.484016,0,0.006015,0.288782,780,0.46682,0
Massively Multiplayer,Massively Multiplayer,,44,749,3,0.533965,0.564596,81.692681,0,0.004338,0.505285,478,0.362947,0
Pixel Graphics,Pixel Graphics,,54,495,3,0.539936,0.577909,148.946248,1,0.003142,0.410203,587,0.404397,0
Shoot 'Em Up,Shoot 'Em Up,,30,482,3,0.509036,0.535503,25.338539,1,0.002886,0.510345,222,0.236994,0
Open World,Open World,,74,486,3,0.558678,0.607988,540.006564,0,0.004223,0.268419,725,0.4466,0
Survival,Survival,,53,470,3,0.538217,0.575937,78.15924,0,0.003333,0.462264,637,0.415349,0
Space,Space,,43,445,3,0.529781,0.561144,80.32498,0,0.003028,0.472868,427,0.340951,0
Arcade,Arcade,,45,400,3,0.521605,0.558185,151.295787,1,0.002916,0.342424,339,0.283034,0
Female Protagonist,Female Protagonist,,57,398,3,0.542536,0.582347,171.105196,1,0.002774,0.394737,630,0.408135,0
RPGMaker,RPGMaker,,32,348,3,0.522411,0.545858,52.293064,0,0.00232,0.568548,282,0.281235,0
RTS,RTS,,39,339,3,0.524031,0.553748,169.593936,0,0.0029,0.364372,270,0.265515,0
Turn-Based,Turn-Based,,47,340,3,0.533123,0.567061,141.557476,0,0.002735,0.420907,455,0.346821,0
Classic,Classic,,51,338,3,0.536508,0.572978,228.122234,0,0.002614,0.360784,460,0.359496,0
Tower Defense,Tower Defense,,31,329,3,0.52,0.543393,29.663527,0,0.002131,0.612903,285,0.289739,0
Card Game,Card Game,,36,313,3,0.52322,0.550296,74.144124,0,0.002248,0.468254,295,0.288299,0
2D,2D,,41,324,3,0.527301,0.557692,53.101718,1,0.002164,0.514634,422,0.341015,0
Singleplayer,Singleplayer,,66,319,2,0.554098,0.597633,264.051103,0,0.002442,0.328205,704,0.449148,0
Story Rich,Story Rich,,67,317,3,0.551387,0.59714,540.953978,0,0.003048,0.322479,713,0.437488,0
Zombies,Zombies,,37,311,3,0.525661,0.552761,63.015331,0,0.002269,0.551051,367,0.324984,0
