Source,Target,Type,Id,Label,timeset,Weight
Indie,Action,Undirected,0,,,6660
Indie,Casual,Undirected,1,,,5590
Indie,Adventure,Undirected,2,,,4740
Indie,Strategy,Undirected,3,,,1990
Indie,Simulation,Undirected,4,,,1372
Indie,Early Access,Undirected,5,,,1379
Indie,RPG,Undirected,6,,,1341
Indie,Free to Play,Undirected,7,,,551
Indie,Puzzle,Undirected,8,,,849
Indie,VR,Undirected,9,,,355
Indie,Sports,Undirected,10,,,271
Indie,Racing,Undirected,11,,,339
Indie,Platformer,Undirected,12,,,496
Indie,Nudity,Undirected,13,,,137
Indie,Sexual Content,Undirected,14,,,142
Indie,Visual Novel,Undirected,15,,,235
Indie,Violent,Undirected,16,,,237
Indie,Anime,Undirected,17,,,84
Indie,Horror,Undirected,18,,,291
Indie,Point & Click,Undirected,19,,,177
Indie,Gore,Undirected,20,,,238
Indie,Hidden Object,Undirected,21,,,23
Indie,Multiplayer,Undirected,22,,,48
Indie,FPS,Undirected,23,,,82
Indie,Massively Multiplayer,Undirected,24,,,60
Indie,Pixel Graphics,Undirected,25,,,149
Indie,Shoot 'Em Up,Undirected,26,,,168
Indie,Open World,Undirected,27,,,3
Indie,Survival,Undirected,28,,,38
Indie,Space,Undirected,29,,,74
Indie,Arcade,Undirected,30,,,111
Indie,Female Protagonist,Undirected,31,,,64
Indie,RPGMaker,Undirected,32,,,96
Indie,RTS,Undirected,33,,,17
Indie,Turn-Based,Undirected,34,,,45
Indie,Classic,Undirected,35,,,2
Indie,Tower Defense,Undirected,36,,,79
Indie,Card Game,Undirected,37,,,52
Indie,2D,Undirected,38,,,104
Indie,Singleplayer,Undirected,39,,,53
Indie,Story Rich,Undirected,40,,,49
Indie,Zombies,Undirected,41,,,51
Indie,Sci-fi,Undirected,42,,,32
Indie,Utilities,Undirected,43,,,4
Indie,World War II,Undirected,44,,,7
Indie,Great Soundtrack,Undirected,45,,,51
Indie,Co-op,Undirected,46,,,28
Indie,Match 3,Undirected,47,,,32
Indie,Fighting,Undirected,48,,,25
Indie,Management,Undirected,49,,,12
Indie,Fantasy,Undirected,50,,,14
Indie,Retro,Undirected,51,,,56
Indie,Music,Undirected,52,,,76
Indie,Board Game,Undirected,53,,,23
Indie,Rogue-like,Undirected,54,,,62
Indie,Turn-Based Strategy,Undirected,55,,,16
Indie,Shooter,Undirected,56,,,27
Indie,Bullet Hell,Undirected,57,,,57
Indie,Sandbox,Undirected,58,,,20
Indie,JRPG,Undirected,59,,,7
Indie,Stealth,Undirected,60,,,36
Indie,First-Person,Undirected,61,,,39
Indie,Comedy,Undirected,62,,,26
Indie,Family Friendly,Undirected,63,,,24
Indie,Atmospheric,Undirected,64,,,28
Indie,Difficult,Undirected,65,,,58
Indie,Education,Undirected,66,,,33
Indie,Hack and Slash,Undirected,67,,,15
Indie,Local Multiplayer,Undirected,68,,,56
Indie,Design & Illustration,Undirected,69,,,2
Indie,Memes,Undirected,70,,,27
Indie,Psychological Horror,Undirected,71,,,35
Indie,City Builder,Undirected,72,,,5
Indie,Historical,Undirected,73,,,5
Indie,Mystery,Undirected,74,,,11
Indie,Flight,Undirected,75,,,11
Indie,Clicker,Undirected,76,,,26
Indie,Building,Undirected,77,,,10
Indie,Driving,Undirected,78,,,11
Indie,Cyberpunk,Undirected,79,,,17
Indie,Puzzle-Platformer,Undirected,80,,,49
Indie,Metroidvania,Undirected,81,,,30
Indie,Local Co-Op,Undirected,82,,,31
Indie,Funny,Undirected,83,,,12
Indie,Walking Simulator,Undirected,84,,,37
Indie,Exploration,Undirected,85,,,20
Indie,Animation & Modeling,Undirected,86,,,2
Indie,Physics,Undirected,87,,,30
Indie,Tactical,Undirected,88,,,6
Indie,Medieval,Undirected,89,,,5
Indie,Survival Horror,Undirected,90,,,14
Indie,Rhythm,Undirected,91,,,35
Indie,Beat 'em up,Undirected,92,,,25
Indie,Relaxing,Undirected,93,,,30
Indie,Dungeon Crawler,Undirected,94,,,14
Indie,Twin Stick Shooter,Undirected,95,,,31
Indie,4 Player Local,Undirected,96,,,35
Indie,Third-Person Shooter,Undirected,97,,,10
Indie,Detective,Undirected,98,,,13
